,0,1
411,logarithm_glcm_Imc2,0
412,logarithm_glcm_Idm,0
413,logarithm_glcm_Idmn,0
414,logarithm_glcm_Id,0
415,logarithm_glcm_Idn,0
416,logarithm_glcm_InverseVariance,0
417,logarithm_glcm_MaximumProbability,0
418,logarithm_glcm_SumEntropy,0
419,logarithm_glcm_SumSquares,0
420,logarithm_glrlm_GrayLevelNonUniformity,0
421,logarithm_glrlm_GrayLevelNonUniformityNormalized,0
422,logarithm_glrlm_GrayLevelVariance,0
423,logarithm_glrlm_HighGrayLevelRunEmphasis,0
424,logarithm_glrlm_LongRunEmphasis,0
425,logarithm_glrlm_LongRunHighGrayLevelEmphasis,0
426,logarithm_glrlm_LongRunLowGrayLevelEmphasis,0
427,logarithm_glrlm_LowGrayLevelRunEmphasis,0
428,logarithm_glrlm_RunEntropy,0
429,logarithm_glrlm_RunLengthNonUniformity,0
430,logarithm_glrlm_RunLengthNonUniformityNormalized,0
431,logarithm_glrlm_RunPercentage,0
432,logarithm_glrlm_RunVariance,0
433,logarithm_glrlm_ShortRunEmphasis,0
434,logarithm_glrlm_ShortRunHighGrayLevelEmphasis,0
435,logarithm_glrlm_ShortRunLowGrayLevelEmphasis,0
436,logarithm_glszm_GrayLevelNonUniformity,0
437,logarithm_glszm_GrayLevelNonUniformityNormalized,0
438,logarithm_glszm_GrayLevelVariance,0
439,logarithm_glszm_HighGrayLevelZoneEmphasis,0
440,logarithm_glszm_LargeAreaEmphasis,0
441,logarithm_glszm_LargeAreaHighGrayLevelEmphasis,0
442,logarithm_glszm_LargeAreaLowGrayLevelEmphasis,0
443,logarithm_glszm_LowGrayLevelZoneEmphasis,0
444,logarithm_glszm_SizeZoneNonUniformity,0
445,logarithm_glszm_SizeZoneNonUniformityNormalized,0
446,logarithm_glszm_SmallAreaEmphasis,0
447,logarithm_glszm_SmallAreaHighGrayLevelEmphasis,0
448,logarithm_glszm_SmallAreaLowGrayLevelEmphasis,0
449,logarithm_glszm_ZoneEntropy,0
450,logarithm_glszm_ZonePercentage,0
451,logarithm_glszm_ZoneVariance,0
452,logarithm_gldm_DependenceEntropy,0
453,logarithm_gldm_DependenceNonUniformity,0
454,logarithm_gldm_DependenceNonUniformityNormalized,0
455,logarithm_gldm_DependenceVariance,0
456,logarithm_gldm_GrayLevelNonUniformity,0
457,logarithm_gldm_GrayLevelVariance,0
458,logarithm_gldm_HighGrayLevelEmphasis,0
459,logarithm_gldm_LargeDependenceEmphasis,0
460,logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,0
461,logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,0
462,logarithm_gldm_LowGrayLevelEmphasis,0
463,logarithm_gldm_SmallDependenceEmphasis,0
464,logarithm_gldm_SmallDependenceHighGrayLevelEmphasis,0
465,logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,0
466,square_firstorder_10Percentile,0
467,square_firstorder_90Percentile,0
468,square_firstorder_Energy,0
469,square_firstorder_Entropy,0
470,square_firstorder_InterquartileRange,0
471,square_firstorder_Kurtosis,0
472,square_firstorder_Maximum,0
473,square_firstorder_MeanAbsoluteDeviation,0
474,square_firstorder_Mean,0
475,square_firstorder_Median,0
476,square_firstorder_Minimum,0
477,square_firstorder_Range,0
478,square_firstorder_RobustMeanAbsoluteDeviation,0
479,square_firstorder_RootMeanSquared,0
480,square_firstorder_Skewness,0
481,square_firstorder_TotalEnergy,0
482,square_firstorder_Uniformity,0
483,square_firstorder_Variance,0
484,square_glcm_Autocorrelation,0
485,square_glcm_JointAverage,0
486,square_glcm_ClusterProminence,0
487,square_glcm_ClusterShade,0
488,square_glcm_ClusterTendency,0
489,square_glcm_Contrast,0
490,square_glcm_Correlation,0
491,square_glcm_DifferenceAverage,0
492,square_glcm_DifferenceEntropy,0
493,square_glcm_DifferenceVariance,0
494,square_glcm_JointEnergy,0
495,square_glcm_JointEntropy,0
496,square_glcm_Imc1,0
497,square_glcm_Imc2,0
498,square_glcm_Idm,0
499,square_glcm_Idmn,0
500,square_glcm_Id,0
501,square_glcm_Idn,0
502,square_glcm_InverseVariance,0
503,square_glcm_MaximumProbability,0
504,square_glcm_SumEntropy,0
505,square_glcm_SumSquares,0
506,square_glrlm_GrayLevelNonUniformity,0
507,square_glrlm_GrayLevelNonUniformityNormalized,0
508,square_glrlm_GrayLevelVariance,0
509,square_glrlm_HighGrayLevelRunEmphasis,0
510,square_glrlm_LongRunEmphasis,0
511,square_glrlm_LongRunHighGrayLevelEmphasis,0
512,square_glrlm_LongRunLowGrayLevelEmphasis,0
513,square_glrlm_LowGrayLevelRunEmphasis,0
514,square_glrlm_RunEntropy,0
515,square_glrlm_RunLengthNonUniformity,0
516,square_glrlm_RunLengthNonUniformityNormalized,0
517,square_glrlm_RunPercentage,0
518,square_glrlm_RunVariance,0
519,square_glrlm_ShortRunEmphasis,0
520,square_glrlm_ShortRunHighGrayLevelEmphasis,0
521,square_glrlm_ShortRunLowGrayLevelEmphasis,0
522,square_glszm_GrayLevelNonUniformity,0
523,square_glszm_GrayLevelNonUniformityNormalized,0
524,square_glszm_GrayLevelVariance,0
525,square_glszm_HighGrayLevelZoneEmphasis,0
526,square_glszm_LargeAreaEmphasis,0
527,square_glszm_LargeAreaHighGrayLevelEmphasis,0
528,square_glszm_LargeAreaLowGrayLevelEmphasis,0
529,square_glszm_LowGrayLevelZoneEmphasis,0
530,square_glszm_SizeZoneNonUniformity,0
531,square_glszm_SizeZoneNonUniformityNormalized,0
532,square_glszm_SmallAreaEmphasis,0
533,square_glszm_SmallAreaHighGrayLevelEmphasis,0
534,square_glszm_SmallAreaLowGrayLevelEmphasis,0
535,square_glszm_ZoneEntropy,0
536,square_glszm_ZonePercentage,0
537,square_glszm_ZoneVariance,0
538,square_gldm_DependenceEntropy,0
539,square_gldm_DependenceNonUniformity,0
540,square_gldm_DependenceNonUniformityNormalized,0
541,square_gldm_DependenceVariance,0
542,square_gldm_GrayLevelNonUniformity,0
543,square_gldm_GrayLevelVariance,0
544,square_gldm_HighGrayLevelEmphasis,0
545,square_gldm_LargeDependenceEmphasis,0
546,square_gldm_LargeDependenceHighGrayLevelEmphasis,0
547,square_gldm_LargeDependenceLowGrayLevelEmphasis,0
548,square_gldm_LowGrayLevelEmphasis,0
549,square_gldm_SmallDependenceEmphasis,0
550,square_gldm_SmallDependenceHighGrayLevelEmphasis,0
551,square_gldm_SmallDependenceLowGrayLevelEmphasis,0
552,squareroot_firstorder_10Percentile,0
553,squareroot_firstorder_90Percentile,0
554,squareroot_firstorder_Energy,0
555,squareroot_firstorder_Entropy,0
556,squareroot_firstorder_InterquartileRange,0
557,squareroot_firstorder_Kurtosis,0
558,squareroot_firstorder_Maximum,0
559,squareroot_firstorder_MeanAbsoluteDeviation,0
560,squareroot_firstorder_Mean,0
561,squareroot_firstorder_Median,0
562,squareroot_firstorder_Minimum,0
563,squareroot_firstorder_Range,0
564,squareroot_firstorder_RobustMeanAbsoluteDeviation,0
565,squareroot_firstorder_RootMeanSquared,0
566,squareroot_firstorder_Skewness,0
567,squareroot_firstorder_TotalEnergy,0
568,squareroot_firstorder_Uniformity,0
569,squareroot_firstorder_Variance,0
570,squareroot_glcm_Autocorrelation,0
571,squareroot_glcm_JointAverage,0
572,squareroot_glcm_ClusterProminence,0
573,squareroot_glcm_ClusterShade,0
574,squareroot_glcm_ClusterTendency,0
575,squareroot_glcm_Contrast,0
576,squareroot_glcm_Correlation,0
577,squareroot_glcm_DifferenceAverage,0
578,squareroot_glcm_DifferenceEntropy,0
579,squareroot_glcm_DifferenceVariance,0
580,squareroot_glcm_JointEnergy,0
581,squareroot_glcm_JointEntropy,0
582,squareroot_glcm_Imc1,0
583,squareroot_glcm_Imc2,0
584,squareroot_glcm_Idm,0
585,squareroot_glcm_Idmn,0
586,squareroot_glcm_Id,0
587,squareroot_glcm_Idn,0
588,squareroot_glcm_InverseVariance,0
